allele1,allele2,direction,n_continents,or_cmh,log2_or,p_one_sided,qval,score
A15G2R2-IIa,A5G3-IIc,exclusive,1,0.8593406593406593,-0.21869793777870644,0.2672840701424595,0.4192762215054601,-0.5730269239796526
A16G1R1-IIa,A18G2R1-IIa,co-occur,1,1.5314009661835748,0.6148520726400819,0.2696713656873305,0.4192762215054601,0.5691651654647532
A16G3R1-IIa,A16G3R2-IIa,co-occur,1,1.5527272727272727,0.6348044512084684,0.2731343823695289,0.4192762215054601,0.5636236270902513
A17G2R1-IIa,A19G2R1-IIa,exclusive,1,0.2508361204013378,-1.9951829837022241,0.27470711587482904,0.4192762215054601,-0.5611300906881169
A15G2R2-IIa,A19G2R1-IIa,exclusive,1,0.2508361204013378,-1.9951829837022241,0.27470711587482904,0.4192762215054601,-0.5611300906881169
A13G2R1-IIa,A17G2R1-IIa,co-occur,1,1.646153846153846,0.7190991733726924,0.27782123082485044,0.4192762215054601,0.556234568973631
A17G2R1-IIa,A19G1R1-IIa,co-occur,1,1.646153846153846,0.7190991733726924,0.27782123082485044,0.4192762215054601,0.556234568973631
A16G3R2-IIa,A19G2R1-IIa,co-occur,1,1.6956521739130435,0.7618402628052354,0.2815067582824512,0.4192762215054601,0.5505111743488931
A16G2R1-IIa,A19G2R1-IIa,co-occur,1,1.6956521739130435,0.7618402628052354,0.2815067582824512,0.4192762215054601,0.5505111743488931
A19G1R1-IIa,A5G3-IIc,co-occur,1,1.9112426035502956,0.9345109184117404,0.2912896480657138,0.4192762215054601,0.5356749491787964
A13G2R1-IIa,A5G3-IIc,co-occur,1,1.9112426035502956,0.9345109184117404,0.2912896480657138,0.4192762215054601,0.5356749491787964
A13G2R1-IIa,A19G1R1-IIa,co-occur,1,1.9112426035502956,0.9345109184117404,0.2912896480657138,0.4192762215054601,0.5356749491787964
A16G3R1-IIa,A17G2R2-IIa,co-occur,1,1.9066666666666665,0.9310526462825084,0.2913051451682974,0.4192762215054601,0.5356518445914664
A16G1R1-IIa,A22G1-IId,co-occur,1,1.9813664596273293,0.9864957356502525,0.2920525869759576,0.4192762215054601,0.5345389424651801
A16G1R1-IIa,A20G1R1-IIa,co-occur,1,1.9813664596273293,0.9864957356502525,0.2920525869759576,0.4192762215054601,0.5345389424651801
A16G1R1-IIa,A17G1-IId,co-occur,1,1.9813664596273293,0.9864957356502525,0.2920525869759576,0.4192762215054601,0.5345389424651801
